,0
0,0.0
1,0.0009213106741667369
2,0.0024120226591665965
3,0.0033333333333333335
4,0.0033333333333333335
5,0.00425464400750007
6,0.00574535599249993
7,0.006666666666666667
8,0.006666666666666667
9,0.007587977340833404
10,0.009078689325833264
11,0.01
12,0.01
13,0.010921310674166736
14,0.012412022659166598
15,0.013333333333333334
16,0.013333333333333334
17,0.01425464400750007
18,0.01574535599249993
19,0.016666666666666666
20,0.016666666666666666
21,0.017587977340833404
22,0.019078689325833263
23,0.02
24,0.02
25,0.02092131067416674
26,0.022412022659166596
27,0.023333333333333334
28,0.023333333333333334
29,0.024254644007500072
30,0.02574535599249993
31,0.02666666666666667
32,0.02666666666666667
33,0.027587977340833406
34,0.029078689325833264
35,0.030000000000000002
36,0.030000000000000002
37,0.030921310674166737
38,0.032412022659166595
39,0.03333333333333333
40,0.03333333333333333
41,0.03425464400750007
42,0.03574535599249993
43,0.03666666666666667
44,0.03666666666666667
45,0.037587977340833405
46,0.03907868932583326
47,0.04
48,0.04
49,0.04092131067416674
50,0.0424120226591666
51,0.043333333333333335
52,0.043333333333333335
53,0.04425464400750007
54,0.04574535599249993
55,0.04666666666666667
56,0.04666666666666667
57,0.04758797734083341
58,0.049078689325833265
59,0.05
60,0.05
61,0.05092131067416674
62,0.0524120226591666
63,0.05333333333333334
64,0.05333333333333334
65,0.054254644007500075
66,0.05574535599249993
67,0.05666666666666667
68,0.05666666666666667
69,0.05758797734083341
70,0.05907868932583327
71,0.060000000000000005
72,0.060000000000000005
73,0.06092131067416674
74,0.0624120226591666
75,0.06333333333333334
76,0.06333333333333334
77,0.06425464400750007
78,0.06574535599249993
79,0.06666666666666667
80,0.06666666666666667
81,0.06758797734083341
82,0.06907868932583326
83,0.07
84,0.07
85,0.07092131067416674
86,0.0724120226591666
87,0.07333333333333333
88,0.07333333333333333
89,0.07425464400750008
90,0.07574535599249993
91,0.07666666666666667
92,0.07666666666666667
93,0.0775879773408334
94,0.07907868932583327
95,0.08
96,0.08
97,0.08092131067416675
98,0.0824120226591666
99,0.08333333333333334
100,0.08333333333333334
101,0.08425464400750007
102,0.08574535599249994
103,0.08666666666666667
104,0.08666666666666667
105,0.08758797734083341
106,0.08907868932583327
107,0.09000000000000001
108,0.09000000000000001
109,0.09092131067416674
110,0.0924120226591666
111,0.09333333333333334
112,0.09333333333333334
113,0.09425464400750008
114,0.09574535599249993
115,0.09666666666666668
116,0.09666666666666668
117,0.09758797734083341
118,0.09907868932583327
119,0.1
120,0.1
121,0.10092131067416675
122,0.1024120226591666
123,0.10333333333333335
124,0.10333333333333335
125,0.10425464400750008
126,0.10574535599249994
127,0.10666666666666667
128,0.10666666666666667
129,0.1075879773408334
130,0.10907868932583327
131,0.11
132,0.11
133,0.11092131067416675
134,0.1124120226591666
135,0.11333333333333334
136,0.11333333333333334
137,0.11425464400750007
138,0.11574535599249994
139,0.11666666666666667
140,0.11666666666666667
141,0.11758797734083341
142,0.11907868932583326
143,0.12000000000000001
144,0.12000000000000001
145,0.12092131067416674
146,0.1224120226591666
